Date,Cumulative
29/04/2016,1363
30/04/2016,1364
01/05/2016,1381
02/05/2016,1389
03/05/2016,1395
04/05/2016,1396
05/05/2016,1397
06/05/2016,1398
07/05/2016,1398
08/05/2016,1398
09/05/2016,1399
10/05/2016,1403
11/05/2016,1419
12/05/2016,1428
13/05/2016,1429
14/05/2016,1429
15/05/2016,1429
16/05/2016,1430
17/05/2016,1446
18/05/2016,1453
19/05/2016,1461
20/05/2016,1461
21/05/2016,1462
22/05/2016,1462
23/05/2016,1462
24/05/2016,1463
25/05/2016,1463
26/05/2016,1464
27/05/2016,1464
28/05/2016,1464
29/05/2016,1464
30/05/2016,1464
31/05/2016,1464
01/06/2016,1471
02/06/2016,1474
03/06/2016,1508
04/06/2016,1508
05/06/2016,1508
06/06/2016,1508
07/06/2016,1509
08/06/2016,1510
09/06/2016,1513
10/06/2016,1513
11/06/2016,1513
12/06/2016,1514
13/06/2016,1515
14/06/2016,1515
15/06/2016,1517
16/06/2016,1530
17/06/2016,1530
18/06/2016,1530
19/06/2016,1530
20/06/2016,1530
21/06/2016,1530
22/06/2016,1532
23/06/2016,1532
24/06/2016,1532
25/06/2016,1532
26/06/2016,1532
27/06/2016,1536
28/06/2016,1542
29/06/2016,1545
30/06/2016,1546
01/07/2016,1547
02/07/2016,1547
03/07/2016,1548
04/07/2016,1550
05/07/2016,1550
06/07/2016,1564
07/07/2016,1564
08/07/2016,1564
09/07/2016,1564
10/07/2016,1564
11/07/2016,1564
12/07/2016,1564
13/07/2016,1566
14/07/2016,1569
15/07/2016,1581
16/07/2016,1581
17/07/2016,1581
18/07/2016,1583
19/07/2016,1584
20/07/2016,1584
21/07/2016,1585
22/07/2016,1585
23/07/2016,1587
24/07/2016,1588
25/07/2016,1589
26/07/2016,1589
27/07/2016,1589
28/07/2016,1591
29/07/2016,1591
30/07/2016,1591
31/07/2016,1591
01/08/2016,1592
02/08/2016,1595
03/08/2016,1609
04/08/2016,1609
05/08/2016,1609
06/08/2016,1609
07/08/2016,1609
08/08/2016,1609
09/08/2016,1611
10/08/2016,1612
11/08/2016,1615
12/08/2016,1616
13/08/2016,1616
14/08/2016,1616
15/08/2016,1621
16/08/2016,1624
17/08/2016,1625
18/08/2016,1625
19/08/2016,1628
20/08/2016,1628
21/08/2016,1628
22/08/2016,1628
23/08/2016,1628
24/08/2016,1635
25/08/2016,1635
26/08/2016,1636
27/08/2016,1636
28/08/2016,1639
29/08/2016,1639
30/08/2016,1640
31/08/2016,1640
01/09/2016,1641
02/09/2016,1642
03/09/2016,1642
04/09/2016,1642
05/09/2016,1649
06/09/2016,1652
07/09/2016,1652
08/09/2016,1652
09/09/2016,1652
10/09/2016,1653
11/09/2016,1653
12/09/2016,1656
13/09/2016,1656
14/09/2016,1657
15/09/2016,1661
16/09/2016,1662
17/09/2016,1662
18/09/2016,1662
19/09/2016,1663
20/09/2016,1664
21/09/2016,1665
22/09/2016,1665
23/09/2016,1666
24/09/2016,1666
25/09/2016,1666
26/09/2016,1666
27/09/2016,1666
28/09/2016,1667
29/09/2016,1669
30/09/2016,1670
01/10/2016,1670
02/10/2016,1670
03/10/2016,1671
04/10/2016,1671
05/10/2016,1671
06/10/2016,1671
07/10/2016,1671
08/10/2016,1671
09/10/2016,1671
10/10/2016,1671
11/10/2016,1671
12/10/2016,1671
13/10/2016,1671
14/10/2016,1671
15/10/2016,1671
16/10/2016,1671
17/10/2016,1672
18/10/2016,1672
19/10/2016,1673
20/10/2016,1673
21/10/2016,1673
22/10/2016,1673
23/10/2016,1673
24/10/2016,1673
25/10/2016,1673
26/10/2016,1676
27/10/2016,1676
28/10/2016,1676
29/10/2016,1676
30/10/2016,1676
31/10/2016,1676
01/11/2016,1688
02/11/2016,1689
03/11/2016,1690
04/11/2016,1690
05/11/2016,1690
06/11/2016,1690
07/11/2016,1694
08/11/2016,1694
09/11/2016,1697
10/11/2016,1697
11/11/2016,1697
12/11/2016,1697
13/11/2016,1697
14/11/2016,1697
15/11/2016,1699
16/11/2016,1702
17/11/2016,1702
18/11/2016,1702
19/11/2016,1702
20/11/2016,1702
21/11/2016,1702
22/11/2016,1702
23/11/2016,1703
24/11/2016,1704
25/11/2016,1704
26/11/2016,1704
27/11/2016,1704
28/11/2016,1704
29/11/2016,1705
30/11/2016,1708
01/12/2016,1709
02/12/2016,1709
03/12/2016,1709
04/12/2016,1709
05/12/2016,1710
06/12/2016,1711
07/12/2016,1716
08/12/2016,1716
09/12/2016,1716
10/12/2016,1716
11/12/2016,1716
12/12/2016,1717
13/12/2016,1717
14/12/2016,1718
15/12/2016,1718
16/12/2016,1718
17/12/2016,1718
18/12/2016,1718
19/12/2016,1718
20/12/2016,1718
21/12/2016,1718
22/12/2016,1718
23/12/2016,1718
24/12/2016,1718
25/12/2016,1718
26/12/2016,1718
27/12/2016,1718
28/12/2016,1720
29/12/2016,1721
30/12/2016,1721
31/12/2016,1721
01/01/2017,1721
02/01/2017,1721
03/01/2017,1721
04/01/2017,1721
05/01/2017,1721
06/01/2017,1721
07/01/2017,1721
08/01/2017,1721
09/01/2017,1721
10/01/2017,1722
11/01/2017,1722
